postalCode,Population,,,,,,,,
13039,17759,,,,,,,,
13492,11710,,,,,,,,
10925,4300,,,,,,,,
13066,11809,,,,,,,,
10501,1073,,,,,,,,
12520,3042,,,,,,,,
13362,208,,,,,,,,
14126,685,,,,,,,,
11941,1929,,,,,,,,
13647,68,,,,,,,,
14752,185,,,,,,,,
14127,30329,,,,,,,,
10940,48512,,,,,,,,
10928,4029,,,,,,,,
14035,167,,,,,,,,
10933,797,,,,,,,,
14072,20580,,,,,,,,
12979,2433,,,,,,,,
12722,199,,,,,,,,
11792,8941,,,,,,,,
12150,842,,,,,,,,
11724,2853,,,,,,,,
12172,310,,,,,,,,
12574,352,,,,,,,,
10964,1711,,,,,,,,
10970,9716,,,,,,,,
14854,15,,,,,,,,
11771,9344,,,,,,,,
12302,27809,,,,,,,,
13163,342,,,,,,,,
10930,8938,,,,,,,,
13031,15345,,,,,,,,
12077,6481,,,,,,,,
14425,11415,,,,,,,,
13790,17858,,,,,,,,
10922,1406,,,,,,,,
13502,32415,,,,,,,,
13041,11023,,,,,,,,
12518,5889,,,,,,,,
12884,293,,,,,,,,
14092,11595,,,,,,,,
10926,3256,,,,,,,,
12306,25494,,,,,,,,
12401,34752,,,,,,,,
12198,7723,,,,,,,,
11944,4338,,,,,,,,
12159,7878,,,,,,,,
12504,1260,,,,,,,,
10980,13746,,,,,,,,
11719,3372,,,,,,,,
13051,129,,,,,,,,
11972,1295,,,,,,,,
14893,12,,,,,,,,
13138,21,,,,,,,,
13859,269,,,,,,,,
12533,25936,,,,,,,,
12866,37268,,,,,,,,
12538,13900,,,,,,,,
10917,1959,,,,,,,,
12027,3731,,,,,,,,
13057,14547,,,,,,,,
14850,65647,,,,,,,,
14031,9710,,,,,,,,
10921,4138,,,,,,,,
11901,30631,,,,,,,,
10590,7026,,,,,,,,
12586,12035,,,,,,,,
10509,19605,,,,,,,,
12411,475,,,,,,,,
12019,14893,,,,,,,,
14537,164,,,,,,,,
11948,1315,,,,,,,,
12061,9747,,,,,,,,
14048,14718,,,,,,,,
12804,26477,,,,,,,,
12008,480,,,,,,,,
14506,1374,,,,,,,,
11568,4240,,,,,,,,
13087,177,,,,,,,,
13134,39,,,,,,,,
10527,1156,,,,,,,,
12582,6165,,,,,,,,
13903,18735,,,,,,,,
14047,6596,,,,,,,,
14203,1751,,,,,,,,
13113,238,,,,,,,,
13102,27,,,,,,,,
14173,263,,,,,,,,
13027,31724,,,,,,,,
13215,15409,,,,,,,,
10526,1714,,,,,,,,
14901,17019,,,,,,,,
12118,14569,,,,,,,,
12472,1646,,,,,,,,
11977,2570,,,,,,,,
12933,12,,,,,,,,
14701,40232,,,,,,,,
10504,7885,,,,,,,,
11942,4092,,,,,,,,
10518,1505,,,,,,,,
14559,18336,,,,,,,,
13664,439,,,,,,,,
12901,32843,,,,,,,,
13838,4450,,,,,,,,
11963,6811,,,,,,,,
13850,22080,,,,,,,,
10512,25467,,,,,,,,
10173,2,,,,,,,,
10941,13572,,,,,,,,
12839,13784,,,,,,,,
11971,6376,,,,,,,,
12542,6088,,,,,,,,
13029,7506,,,,,,,,
14094,50605,,,,,,,,
13904,9626,,,,,,,,
11949,14340,,,,,,,,
12486,1461,,,,,,,,
12020,31729,,,,,,,,
13305,387,,,,,,,,
10919,1647,,,,,,,,
12771,14041,,,,,,,,
10165,2,,,,,,,,
13616,2184,,,,,,,,
14102,1494,,,,,,,,
12821,2178,,,,,,,,
14750,4309,,,,,,,,
10536,10725,,,,,,,,
11960,744,,,,,,,,
12045,325,,,,,,,,
13115,172,,,,,,,,
13440,42221,,,,,,,,
11980,4856,,,,,,,,
14059,9834,,,,,,,,
14006,9612,,,,,,,,
13602,3633,,,,,,,,
13162,637,,,,,,,,
11952,4518,,,,,,,,
12911,49,,,,,,,,
13357,11280,,,,,,,,
12196,3214,,,,,,,,
10918,11700,,,,,,,,
10199,9,,,,,,,,
12563,8106,,,,,,,,
12570,7533,,,,,,,,
13104,16266,,,,,,,,
14061,328,,,,,,,,
10924,13153,,,,,,,,
14564,14382,,,,,,,,
14420,20638,,,,,,,,
14032,7853,,,,,,,,
10578,589,,,,,,,,
13126,37190,,,,,,,,
12063,479,,,,,,,,
13421,14106,,,,,,,,
14020,23120,,,,,,,,
12482,729,,,,,,,,
10963,4219,,,,,,,,
11968,10718,,,,,,,,
13021,39326,,,,,,,,
14468,18271,,,,,,,,
13350,10080,,,,,,,,
12733,1666,,,,,,,,
12051,7030,,,,,,,,
10990,20029,,,,,,,,
14903,6805,,,,,,,,
10506,5303,,,,,,,,
12041,500,,,,,,,,
10597,1128,,,,,,,,
10974,3166,,,,,,,,
10103,3,,,,,,,,
12528,13066,,,,,,,,
10973,2646,,,,,,,,
13020,145,,,,,,,,
12589,18005,,,,,,,,
12561,18423,,,,,,,,
10988,947,,,,,,,,
12759,1910,,,,,,,,
12569,9990,,,,,,,,
12751,1154,,,,,,,,
14513,14001,,,,,,,,
13323,11238,,,,,,,,
13615,1114,,,,,,,,
12512,129,,,,,,,,
11935,3263,,,,,,,,
14063,14555,,,,,,,,
13748,3907,,,,,,,,
13692,78,,,,,,,,
14502,10698,,,,,,,,
12033,7886,,,,,,,,
13469,1163,,,,,,,,
14519,11594,,,,,,,,
11556,17,,,,,,,,
12477,18797,,,,,,,,
14760,18208,,,,,,,,
12549,11138,,,,,,,,
13030,3792,,,,,,,,
13784,132,,,,,,,,
13045,30009,,,,,,,,
12547,2947,,,,,,,,
13403,7579,,,,,,,,
14052,17072,,,,,,,,
14568,6465,,,,,,,,
12124,718,,,,,,,,
10579,9264,,,,,,,,
11765,745,,,,,,,,
13601,38348,,,,,,,,
14856,100,,,,,,,,
12143,5104,,,,,,,,
12148,4428,,,,,,,,
14845,20961,,,,,,,,
13078,10273,,,,,,,,
12754,6952,,,,,,,,
12831,17614,,,,,,,,
12089,140,,,,,,,,
12515,1284,,,,,,,,
14004,12284,,,,,,,,
14456,19865,,,,,,,,
12577,1526,,,,,,,,
12151,684,,,,,,,,
12543,3035,,,,,,,,
12872,76,,,,,,,,
14132,6933,,,,,,,,
13313,555,,,,,,,,
12086,1503,,,,,,,,
13732,8101,,,,,,,,
13424,2663,,,,,,,,
12779,2109,,,,,,,,
10519,181,,,,,,,,
11770,102,,,,,,,,
14464,7272,,,,,,,,
11937,15446,,,,,,,,
13069,25297,,,,,,,,
13164,2448,,,,,,,,
12721,5743,,,,,,,,
11978,2963,,,,,,,,
11956,298,,,,,,,,
14814,1984,,,,,,,,
12548,1352,,,,,,,,
12540,7634,,,,,,,,
13108,6460,,,,,,,,
10932,33,,,,,,,,
14881,271,,,,,,,,
12498,4800,,,,,,,,
14454,11124,,,,,,,,
12174,251,,,,,,,,
14529,85,,,,,,,,
14830,19679,,,,,,,,
12010,28926,,,,,,,,
10916,4374,,,,,,,,
14479,319,,,,,,,,
14130,234,,,,,,,,
12158,6775,,,,,,,,
12078,24072,,,,,,,,
10560,4742,,,,,,,,
12069,147,,,,,,,,
11947,138,,,,,,,,
13135,6990,,,,,,,,
13820,22746,,,,,,,,
14424,26862,,,,,,,,
11933,6358,,,,,,,,
12460,434,,,,,,,,
14108,5686,,,,,,,,
12161,87,,,,,,,,
12490,110,,,,,,,,
13037,8549,,,,,,,,
10524,4402,,,,,,,,
12580,4539,,,,,,,,
10170,2,,,,,,,,
10171,1,,,,,,,,
10576,4842,,,,,,,,
12849,564,,,,,,,,
11959,877,,,,,,,,
14174,5683,,,,,,,,
12443,3710,,,,,,,,
12487,3243,,,,,,,,
12513,596,,,,,,,,
12534,17846,,,,,,,,
13674,118,,,,,,,,
12015,2789,,,,,,,,
12095,12166,,,,,,,,
13638,260,,,,,,,,
14522,9288,,,,,,,,
13678,163,,,,,,,,
13082,4735,,,,,,,,
12186,6266,,,,,,,,
12475,240,,,,,,,,
12828,9291,,,,,,,,
13153,174,,,,,,,,
